97,12,52,63,10471,4350
79,41,29,68,7216,8987
13,68,46,16,1226,8336
14,42,63,23,15649,1769
59,19,53,95,8976,10450
91,84,19,92,9023,13020
14,33,26,12,4032,8054
69,83,70,18,8868,8284
14,47,83,51,7081,7154
33,67,50,17,12916,4279
22,75,77,23,12981,9742
90,30,17,33,6270,2910
62,11,43,65,3850,1601
48,21,21,33,8108,1334
12,40,49,23,12471,11957
86,11,56,69,4404,1058
80,26,11,57,6899,5923
25,51,59,24,14076,10916
48,46,13,94,1915,6320
47,32,20,44,19516,14572
84,21,13,89,4350,2631
29,85,33,26,4361,7973
78,35,11,42,9808,10623
35,64,38,15,4993,274
18,47,54,15,10646,16999
99,55,18,75,5256,5455
83,91,11,58,3635,4261
60,27,29,56,740,11114
59,15,29,75,14539,13025
67,23,11,57,2430,2218
80,45,37,82,9822,10787
11,45,51,23,1269,18697
56,32,16,50,9080,15276
93,93,11,90,4103,11529
24,21,12,51,2016,3627
72,41,25,80,3812,3486
29,14,22,53,2677,14205
56,18,19,69,4292,8432
64,16,14,50,3752,536
45,31,26,59,4694,5247
61,21,19,48,3931,257
13,36,68,26,17218,17896
15,81,31,21,2580,7344
78,51,12,34,3380,16870
86,29,52,60,5118,2745
12,49,77,16,7847,7211
30,49,48,19,1034,15377
25,61,26,12,6825,14177
59,20,11,23,13324,946
36,54,29,13,4435,12219
17,77,61,17,2681,5661
41,19,25,55,4484,9416
26,68,70,26,8284,10434
54,11,25,78,11040,7758
85,23,54,74,2400,2728
93,29,13,22,7293,2328
23,87,48,20,2279,4743
83,34,32,43,7734,4035
25,61,83,44,6884,5225
27,58,98,47,7921,3934
31,57,33,14,3052,3838
96,18,77,97,6503,6751
11,29,71,36,1000,671
25,53,44,20,13129,17325
33,13,50,66,3194,9314
54,15,24,64,19418,8601
13,46,56,14,10671,11208
35,91,25,14,2700,6153
85,25,16,97,2407,1354
24,12,13,30,3299,3318
17,46,50,24,17242,6760
20,43,26,14,2474,748
19,78,90,12,9966,7668
96,77,26,73,3708,5790
37,77,51,15,13364,12440
30,78,76,31,6378,3588
60,26,13,25,10780,7426
33,40,59,16,4212,3440
30,11,25,40,1145,1499
14,30,48,15,4416,3840
45,68,59,25,6633,5404
34,62,44,19,9234,16930
65,12,16,42,13586,10016
16,86,63,54,2515,5264
40,88,91,56,3728,7048
43,79,91,30,5407,1977
87,16,86,76,3366,2244
39,74,94,32,6130,6216
91,50,24,71,9174,7411
81,55,14,95,4359,7320
26,78,79,58,8792,11698
81,58,21,70,8145,9130
29,60,83,29,9583,6839
72,27,23,63,16485,8540
18,30,47,13,3031,8157
36,14,52,70,19584,5184
13,36,32,23,12901,6580
34,66,57,24,13320,4832
79,26,65,85,7528,2732
20,58,96,75,3288,5874
89,24,35,67,3458,5595
63,81,67,22,4988,3206
17,55,54,13,17532,19258
30,94,93,32,2874,4336
31,17,24,40,2311,8105
58,27,19,60,6022,6398
13,67,84,29,2843,2323
56,12,23,81,2380,11120
15,65,56,24,5230,5170
19,47,72,34,17967,11841
16,41,78,60,5144,4789
52,15,16,65,19732,7355
21,81,71,16,17221,9366
61,33,49,87,8507,9381
67,21,15,52,16737,7411
33,49,34,11,6660,4300
19,81,96,33,10734,10392
60,13,63,65,7395,3913
15,21,96,35,6417,3815
20,39,57,27,611,4760
68,97,87,37,11894,9824
13,81,59,12,18946,3392
30,83,57,11,3482,19301
94,11,35,92,11544,7680
45,19,30,45,11315,17659
25,42,79,21,7695,3990
95,91,55,13,10575,9217
27,46,81,26,5508,2776
20,53,29,17,10985,16700
55,74,58,20,8888,8128
40,27,19,43,5535,1095
19,72,54,22,3261,2678
79,39,38,75,7120,6102
26,91,99,25,1223,2673
15,28,58,23,1519,5600
18,53,71,27,11055,3487
14,50,52,18,3908,8576
38,17,23,50,7788,8394
72,20,19,68,10586,4272
28,66,62,12,19418,7934
11,20,49,24,2957,2252
60,11,27,84,3146,1936
18,11,11,41,9360,18112
70,31,15,62,13135,7958
74,35,11,41,19668,14478
53,89,54,23,9521,10100
13,61,68,28,11028,12380
42,29,20,74,1906,1617
44,13,23,60,13690,9554
54,16,11,23,3792,4614
28,11,34,63,13092,15599
61,14,33,73,18520,772
64,29,14,78,3988,4530
18,45,54,26,18170,10118
70,26,11,43,6905,329
72,17,27,58,7461,6253
57,45,18,85,2340,5670
17,81,47,35,5532,8220
14,60,78,22,10172,5672
62,13,17,65,7711,8089
22,38,40,21,15254,15785
83,39,32,71,2416,3038
29,62,68,18,6454,3990
15,38,72,33,3575,8334
81,15,13,83,11268,10108
67,17,12,76,11957,5399
13,97,44,54,2788,7636
14,47,68,30,2678,9911
75,16,22,26,1049,586
16,77,38,25,2368,7607
75,91,77,20,4076,3991
64,19,35,74,8653,7594
33,81,57,15,10661,2849
11,52,70,22,1390,2864
21,40,21,13,5954,5203
52,21,13,64,11131,9958
11,42,95,52,1604,4260
63,13,22,82,670,17610
16,88,84,74,3184,6648
77,14,92,88,13208,8816
63,67,82,13,8310,3940
57,16,17,48,10242,5248
17,72,36,37,3710,5667
69,22,29,54,5207,5330
23,82,49,11,2320,2070
66,27,16,45,11344,9314
56,12,23,66,13879,14258
60,22,18,91,1668,4494
33,11,31,68,6069,13315
14,37,59,14,2210,5344
80,18,33,94,4128,9240
40,17,28,45,3436,3526
16,53,50,22,642,18961
17,39,65,23,9566,11794
66,35,30,76,8010,8394
52,75,37,15,335,19220
36,29,30,89,3690,4334
31,58,50,20,8178,17844
82,22,89,90,4306,1552
12,42,99,75,1173,3291
23,57,40,19,2246,9772
18,42,95,15,9610,4650
20,57,59,21,10072,16868
23,34,42,15,6683,16946
55,73,30,11,4150,3001
22,82,73,12,16713,15870
14,53,65,35,3017,4034
25,53,46,19,13804,8575
29,13,38,60,14048,11678
57,21,61,83,6297,7041
18,99,77,75,2549,3216
59,22,17,33,11044,13465
40,17,47,77,17101,14482
34,14,20,38,594,572
26,62,35,11,6771,8811
20,33,93,21,5259,2982
89,60,13,91,9182,14167
28,98,98,63,5712,8792
67,94,39,15,7520,7532
38,17,25,38,19009,14132
18,51,85,39,9247,7833
40,92,55,23,2390,1978
63,39,24,51,7448,17612
95,25,33,64,11557,8241
40,23,21,73,3186,5853
89,81,13,91,5270,6538
69,17,21,64,10955,8181
59,15,21,77,6203,4791
25,45,36,21,12604,18854
67,17,21,70,7506,17163
78,53,27,89,2391,7065
68,26,23,62,13179,7794
18,44,54,16,18710,4780
16,36,69,48,6028,5412
45,24,34,73,4185,4701
12,26,64,29,8628,3714
53,16,26,65,15387,3502
48,17,49,80,19364,6034
34,70,45,21,3861,2289
39,76,80,14,8169,3574
79,35,45,74,7247,6887
33,19,12,49,7163,16959
24,11,30,49,11852,4499
32,11,25,70,5331,15303
98,63,18,68,5564,5044
85,11,41,76,10558,6527
20,48,45,11,10755,17297
37,23,23,51,12782,14840
37,69,44,11,4057,15396
21,43,55,30,6148,18269
32,63,32,17,8032,16179
81,68,18,51,3429,6001
90,27,36,96,8910,3099
68,36,18,44,494,6740
65,11,13,71,809,7803
29,40,97,24,10076,3248
83,33,17,81,5639,4395
22,33,47,22,7651,1299
58,25,16,31,10590,3747
36,14,36,71,7856,1885
64,18,74,89,9164,5714
82,51,22,99,7542,10407
43,18,34,65,17803,6032
62,39,19,44,15584,11902
32,24,33,83,2199,4853
14,60,80,18,1010,6134
71,24,18,62,3079,5296
17,54,53,12,11314,7550
42,20,13,41,7760,9208
26,48,46,25,16412,3732
20,64,65,21,6165,11225
14,58,68,27,7972,15348
46,17,29,96,3598,8664
93,32,28,76,11382,9292
65,24,11,35,2252,10494
28,61,46,16,14138,7874
49,28,29,66,2640,4672
14,99,98,68,2730,5555
54,54,89,22,5618,3340
18,46,76,48,5930,2346
78,75,87,21,3906,2628
14,22,41,19,3378,12850
69,18,18,73,6411,2697
33,78,70,37,3122,6737
14,74,86,20,6300,2880
11,28,48,11,6804,16815
62,17,31,65,6448,4141
70,11,72,59,4918,1202
97,67,13,33,8935,7805
34,78,76,49,8860,10423
27,69,37,21,1124,960
25,11,15,53,11185,17987
12,57,67,20,10831,11898
21,52,68,37,488,19181
27,12,30,67,4040,8930
84,30,58,99,4462,6369
32,59,37,20,12149,3281
44,12,86,94,7916,8508
11,42,64,29,1438,7055
13,58,71,30,1136,7488
29,32,15,73,466,740
18,40,60,14,3758,16800
29,48,46,11,823,4172
12,36,84,21,2916,1818
57,98,99,38,11955,7862
11,59,54,19,5556,8121
42,16,25,46,6595,7886
18,38,51,33,10826,15950
30,52,24,11,18374,18262
43,17,20,51,6909,5174
12,49,73,35,19520,7473
26,54,81,18,2771,1098
38,16,35,56,9775,16248
74,12,13,83,17184,8706
47,15,59,68,6455,5207
51,75,73,35,3535,4475
11,49,43,19,15272,2282
64,12,12,73,2236,7049
80,36,18,61,19208,11960
52,21,11,35,4204,354
